# File: HDDCDD_NEX_GDDP_CMIP6_HK.csv
# Title: Population-weighted HDDCDD historical data and projections for Hong Kong
# Units: Fahrenheit Degree Days
# Source: Refer to Xiujuan He Hong Kong base temperatures for heating and cooling degree days (HDD and CDD) are 14.95°C and 20.66°C (not 18.3°C as default). The climate data are from the NEX-GDDP-CMIP6 dataset and using ensemble mean of 33 models in SSP126 SSP245 SSP370 and SSP585 scenarios. The projection is started from 2015.
# Column types: cnnnnnnnnnn
# ----------
scenario,year,hdd_fdd_mean,hdd_fdd_median,hdd_fdd_p05,hdd_fdd_p95,cdd_fdd_mean,cdd_fdd_median,cdd_fdd_p05,cdd_fdd_p95,n_models
ssp245,2061,64.81646344105602,55.21608138067669,8.957200049958228,140.49963027720116,3177.0102473214283,3201.0239226591857,2749.5479632859256,3750.4958673279843,32
ssp245,2062,64.72552896459513,58.82503889902877,4.170446754988334,132.0258712780876,3184.7550395392846,3192.8881612721248,2818.6415044132596,3654.605153294898,32
ssp245,2063,53.8660666883562,45.66321740706565,11.83722236223609,100.85000976766477,3197.1695434962517,3155.162980221416,2780.8545284013,3587.207354461702,32
ssp245,2064,63.67162373772781,56.76718009065299,8.012319691465898,141.30959493640862,3219.518420862095,3241.293329231819,2843.805855443561,3562.233939620333,32
ssp245,2065,59.66780428303199,58.6933458232693,19.47161799790499,116.7198620997633,3211.573851743354,3204.3802829142164,2903.6991919361326,3534.0959279040208,32
ssp245,2066,65.98852194530768,52.15865815064629,14.615269848221303,131.12462585948103,3200.2604224692877,3154.0793284137503,2874.227583682183,3595.038045120324,32
ssp245,2067,66.72146746307625,62.74068961150599,14.64470447389034,126.70665963078285,3201.7428137669244,3188.4770436377253,2811.016409808624,3546.3582243105243,32
ssp245,2068,47.66895761257602,42.73392712261857,10.826654546699675,101.7074278587719,3304.3169595817744,3281.8495201905625,2893.4638202575748,3730.8235612611074,32
ssp245,2069,50.07342801213243,49.04437136440865,7.206173498561339,115.83189864450786,3285.5338625458767,3341.618322360144,2851.51958666806,3667.2929607841834,32
ssp245,2070,56.51785376472038,44.757584301144256,4.288028192536684,131.26626880938338,3245.7889765909,3205.6773334373647,2825.9930489724534,3771.6395696343407,32
ssp245,2071,45.1294713704804,39.73495729057489,13.826217817324865,95.21227351527675,3299.166100013153,3334.6150542949185,2826.9935635755965,3772.752800167035,32
ssp245,2072,53.017231499201806,44.273157795759,9.440427082497877,126.583879628693,3278.6552879791384,3268.6524444882675,2867.5788950966585,3658.3306230341614,32
ssp245,2073,46.5365054685484,34.076836350280324,12.278315724999826,108.60646611851169,3304.51296169032,3328.535711146398,2935.6985559100262,3684.63390162134,32
ssp245,2074,44.8644958818569,38.77994395569407,7.989515715100933,89.16765873969486,3309.403400315658,3308.0239717257305,2875.828494603873,3791.2522071311573,32
ssp245,2075,50.53797496188655,45.04863386039221,9.633946258413907,114.45879860622054,3321.8760078296646,3353.241325889078,2817.8133780282137,3821.4414958819166,32
ssp245,2076,55.82206883729357,41.15496850683586,4.027949748132303,121.16656331651716,3331.372759034814,3278.35201190954,2943.46774156679,3837.0012269976264,32
ssp245,2077,38.25422598938211,36.46033658072291,4.7940022158096856,90.64261409737458,3379.9876900027452,3343.386176516158,3068.1562700399236,3891.807137968292,32
ssp245,2078,48.81206186403197,45.29780763407603,2.4569983947170746,99.40959821905518,3370.6861799862013,3412.275560910362,2873.2086369232043,3833.5861960319567,32
ssp245,2079,48.56535555517812,49.69167389461125,11.257163317155786,107.93674546184911,3368.9196205262137,3307.332516557929,2945.2475315490774,3777.728610867225,32
ssp245,2080,43.78681139730376,39.64560077169358,8.876431699493656,86.77764841286611,3396.120476645293,3361.277198360273,3053.6136370946074,3946.911006480601,32
ssp245,2081,41.791849583463225,30.890525712903667,5.962573491359912,111.99179310205761,3407.005901456331,3366.9095471936066,3035.8506468640367,3954.443395175349,32
ssp245,2082,49.16533513098382,39.66685106527792,6.809167714522666,127.03916134851214,3401.272532239578,3431.0286904187947,2850.047473542368,3851.919176562047,32
ssp245,2083,49.95015247922365,44.38249011534138,8.466513883965627,111.74689695017885,3406.6658865324093,3411.2592974039494,2983.3011307137326,3905.5200256103535,32
ssp245,2084,52.14633389354119,39.8236327914312,6.083415004829843,136.19108245901273,3368.424326589269,3464.8985646539427,2876.3543724090173,3771.939627139312,32
ssp245,2085,35.50491926998186,32.46807992916969,7.318709149192142,73.04800923793582,3431.9545458750295,3433.374816048696,3004.3232630104526,4000.713168890477,32
ssp245,2086,38.191239755343034,28.313177960051213,0.7919733629904557,100.42948873480533,3406.7308984058873,3435.165957142413,2891.6152015691737,3859.9854666826063,32
ssp245,2087,43.18361976852506,31.883417552409256,2.956804782660835,108.15389556917334,3409.242010582762,3412.087558780336,2882.563227475179,4019.797567116795,32
ssp245,2088,46.864704292173194,46.286391866317786,7.977620858135056,94.05618816291424,3486.9396797155964,3459.805364547949,2846.494209689369,4135.780810110817,32
ssp245,2089,44.71246042998111,39.62792557756752,4.371082740000801,92.66663189451243,3427.665470650566,3447.1332430915654,2972.3788798303103,4078.099978966959,32
ssp245,2090,30.86831222556222,27.250543619237312,6.105498139268797,72.78842335637702,3450.3833897500535,3421.187957315381,3018.7358461761423,3970.2044974177584,32
ssp245,2091,34.04349765483817,25.32680015597241,3.48844770701794,80.9398480782327,3491.71346618978,3449.6424733657564,3013.2607799748434,3959.969416605049,32
ssp245,2092,36.798388333086486,28.556810480849386,1.003933994712149,75.83316410416438,3454.4936182995007,3471.551520753495,2910.254155121228,3842.7993733362173,32
ssp245,2093,39.202550183797165,33.41471125667362,6.038720409785685,77.98659545309962,3469.192262486865,3437.941008224919,3024.5156096611463,4011.019376147848,32
ssp245,2094,42.784991934541154,39.18908052374267,9.696787301451119,117.22847146491563,3442.3505230734577,3398.1960665320807,2969.0141960981723,3810.9448624638235,32
ssp245,2095,34.671031950252,34.12393907100274,0.9608094837032682,59.306344652846605,3533.552720498331,3529.036765614943,2985.161564569606,4043.5921893974487,32
ssp245,2096,51.928861288359,43.06209082212224,11.492113283136234,123.33621577579797,3465.5499910981666,3455.273745241366,2845.7155839242287,4002.926713788521,32
ssp245,2097,39.53376201570602,30.25526332698848,1.2820900588860864,101.64970579096672,3448.084920890584,3397.515271343596,3007.7320820667605,3929.137539481128,32
ssp245,2098,31.9313723840082,27.454364646744267,3.7362922115308166,78.49128634776545,3518.035395004161,3446.0482794891414,2996.6760933199594,4104.319171389222,32
ssp245,2099,39.42669790194776,37.30070451238061,7.80744671043596,79.18661707863627,3498.6915209193166,3498.021456686093,3019.2631089225374,3931.384134470432,32
ssp245,2100,34.349176008876896,23.131233318454484,6.680072230864331,86.06677271602669,3497.202816133984,3473.23741139251,2974.59225230984,3953.202729628173,31
ssp370,1971,183.03354867071093,168.6305658873586,78.90359716811085,310.94814946913533,2277.8689049066807,2303.554500617558,2060.2794217520964,2440.2262940431124,33
ssp370,1972,150.69580583694227,150.62510565619513,68.54779665450069,231.2884280378052,2309.8702389929276,2301.6580971247913,2102.368892417708,2512.8206933691667,33
ssp370,1973,155.1694920370734,151.40857412948958,76.51430082912448,244.49705974903736,2341.6530968644274,2364.84414172437,2126.67154426241,2527.532982600124,33
ssp370,1974,161.58960140318513,137.62493835337492,86.69476656742079,287.97205154277225,2286.885837262867,2289.189413642209,2124.554419580005,2493.7668580039667,33
ssp370,1975,175.83467709802994,162.10197062522082,93.45399423574548,279.51849553923466,2265.2045929173505,2290.3806223940046,2066.452199865664,2398.1850435319557,33
ssp370,1976,157.36726239231777,156.90187568977692,87.01956995282873,237.1452477744277,2304.0817207742066,2297.563130017602,2152.65925004342,2485.4977455585226,33
ssp370,1977,166.86918001908433,154.2271687112181,71.63763064605547,284.3203183239372,2328.4140087144215,2322.7554109611838,2128.3501580096963,2524.860651927696,33
ssp370,1978,164.1552191164099,168.20502758303996,72.95197886283685,240.17666306233994,2309.718164821748,2298.1080025083784,2120.1082603612945,2495.114940206527,33
